iter	Passed	Remaining
0	76	76281
1	154	77043
2	222	73900
3	295	73595
4	363	72367
5	435	72195
6	509	72271
7	589	73154
8	665	73312
9	749	74192
10	829	74552
11	910	74987
12	992	75318
13	1072	75560
14	1158	76076
15	1243	76457
16	1330	76933
17	1413	77118
18	1489	76881
19	1566	76757
20	1648	76867
21	1734	77128
22	1814	77060
23	1896	77118
24	1996	77878
25	2082	78011
26	2167	78107
27	2257	78360
28	2347	78617
29	2425	78434
30	2512	78538
31	2596	78534
32	2679	78504
33	2760	78431
34	2847	78506
35	2930	78480
36	3014	78460
37	3097	78420
38	3192	78676
39	3273	78573
40	3364	78708
41	3444	78575
42	3534	78662
43	3614	78528
44	3699	78501
45	3782	78447
46	3869	78455
47	3958	78515
48	4045	78513
49	4125	78387
50	4211	78365
51	4297	78345
52	4387	78393
53	4478	78462
54	4554	78262
55	4641	78238
56	4725	78176
57	4811	78137
58	4887	77946
59	4959	77701
60	5034	77496
61	5119	77456
62	5200	77345
63	5283	77276
64	5364	77162
65	5439	76979
66	5530	77017
67	5620	77031
68	5710	77048
69	5792	76961
70	5871	76827
71	5959	76810
72	6045	76769
73	6136	76786
74	6227	76800
75	6307	76687
76	6397	76687
77	6476	76559
78	6565	76541
79	6652	76504
80	6731	76374
81	6811	76258
82	6894	76169
83	6975	76069
84	7063	76036
85	7140	75892
86	7226	75834
87	7314	75801
88	7404	75787
89	7491	75750
90	7569	75613
91	7656	75563
92	7730	75396
93	7817	75352
94	7901	75273
95	7984	75186
96	8068	75109
97	8159	75098
98	8240	74999
99	8327	74949
100	8409	74857
101	8499	74833
102	8587	74789
103	8678	74764
104	8764	74704
105	8861	74741
106	8948	74685
107	9030	74586
108	9115	74510
109	9200	74436
110	9294	74442
111	9388	74434
112	9471	74346
113	9554	74255
114	9637	74168
115	9721	74087
116	9800	73963
117	9899	73995
118	9979	73878
119	10053	73725
120	10148	73722
121	10231	73632
122	10323	73610
123	10414	73573
124	10505	73535
125	10597	73508
126	10679	73413
127	10769	73370
128	10850	73261
129	10938	73206
130	11027	73152
131	11109	73052
132	11203	73030
133	11291	72974
134	11376	72891
135	11454	72772
136	11537	72677
137	11625	72614
138	11701	72481
139	11783	72382
140	11863	72273
141	11957	72251
142	12048	72204
143	12134	72130
144	12219	72051
145	12296	71928
146	12376	71816
147	12457	71714
148	12534	71589
149	12627	71556
150	12705	71437
151	12787	71340
152	12870	71251
153	12953	71157
154	13037	71075
155	13120	70986
156	13203	70896
157	13286	70807
158	13367	70707
159	13456	70646
160	13548	70603
161	13621	70463
162	13704	70372
163	13784	70268
164	13861	70149
165	13943	70052
166	14015	69909
167	14098	69823
168	14174	69696
169	14256	69603
170	14342	69532
171	14417	69406
172	14504	69335
173	14588	69251
174	14671	69163
175	14755	69082
176	14832	68969
177	14919	68897
178	15002	68812
179	15085	68722
180	15164	68616
181	15244	68516
182	15328	68433
183	15419	68380
184	15506	68310
185	15587	68216
186	15679	68169
187	15753	68040
188	15828	67921
189	15908	67820
190	15989	67725
191	16066	67614
192	16155	67551
193	16232	67440
194	16308	67326
195	16383	67206
196	16457	67081
197	16541	67003
198	16624	66915
199	16710	66842
200	16789	66740
201	16877	66675
202	16966	66610
203	17042	66500
204	17125	66411
205	17196	66283
206	17279	66198
207	17379	66176
208	17462	66090
209	17551	66026
210	17635	65946
211	17721	65870
212	17811	65810
213	17901	65748
214	17989	65682
215	18079	65620
216	18158	65520
217	18242	65440
218	18320	65335
219	18405	65255
220	18476	65127
221	18555	65027
222	18644	64962
223	18721	64858
224	18799	64753
225	18882	64668
226	18966	64587
227	19054	64517
228	19141	64445
229	19219	64343
230	19303	64262
231	19381	64159
232	19460	64061
233	19533	63944
234	19613	63848
235	19705	63793
236	19779	63677
237	19858	63581
238	19943	63502
239	20025	63414
240	20097	63295
241	20176	63198
242	20257	63108
243	20344	63033
244	20432	62966
245	20511	62869
246	20602	62809
247	20675	62692
248	20753	62595
249	20846	62538
250	20925	62444
251	21009	62361
252	21092	62277
253	21181	62210
254	21254	62095
255	21335	62007
256	21413	61906
257	21499	61831
258	21584	61754
259	21662	61655
260	21738	61549
261	21809	61432
262	21889	61341
263	21974	61261
264	22054	61168
265	22136	61084
266	22217	60993
267	22285	60869
268	22365	60778
269	22454	60710
270	22552	60666
271	22644	60608
272	22721	60507
273	22792	60392
274	22870	60294
275	22950	60202
276	23033	60119
277	23123	60053
278	23211	59983
279	23289	59887
280	23371	59801
281	23448	59703
282	23547	59660
283	23634	59586
284	23711	59487
285	23796	59408
286	23892	59357
287	23967	59252
288	24041	59145
289	24128	59072
290	24219	59007
291	24311	58946
292	24385	58840
293	24478	58781
294	24565	58707
295	24651	58631
296	24741	58564
297	24819	58467
298	24899	58375
299	24972	58269
300	25056	58187
301	25153	58136
302	25235	58050
303	25323	57978
304	25404	57889
305	25494	57820
306	25592	57771
307	25684	57706
308	25755	57595
309	25832	57497
310	25914	57411
311	26000	57334
312	26077	57237
313	26157	57146
314	26228	57035
315	26316	56964
316	26391	56863
317	26476	56782
318	26557	56695
319	26634	56599
320	26711	56502
321	26793	56416
322	26868	56315
323	26956	56243
324	27036	56152
325	27118	56066
326	27193	55966
327	27274	55879
328	27355	55792
329	27438	55709
330	27519	55620
331	27597	55526
332	27684	55452
333	27762	55358
334	27840	55265
335	27924	55183
336	27997	55080
337	28085	55008
338	28160	54908
339	28235	54809
340	28324	54738
341	28409	54659
342	28499	54590
343	28579	54500
344	28667	54426
345	28737	54318
346	28815	54225
347	28896	54140
348	28979	54057
349	29060	53969
350	29135	53871
351	29215	53783
352	29293	53690
353	29368	53592
354	29454	53515
355	29532	53423
356	29618	53346
357	29705	53269
358	29790	53191
359	29874	53109
360	29945	53006
361	30021	52910
362	30102	52824
363	30166	52709
364	30245	52618
365	30317	52517
366	30403	52440
367	30489	52363
368	30568	52272
369	30636	52164
370	30720	52084
371	30797	51992
372	30872	51894
373	30946	51798
374	31019	51698
375	31099	51612
376	31175	51517
377	31267	51450
378	31340	51352
379	31422	51267
380	31501	51179
381	31572	51077
382	31650	50987
383	31723	50889
384	31803	50803
385	31875	50703
386	31959	50622
387	32037	50533
388	32111	50437
389	32180	50333
390	32254	50237
391	32346	50170
392	32423	50079
393	32500	49988
394	32581	49903
395	32671	49832
396	32753	49749
397	32834	49664
398	32910	49571
399	32982	49473
400	33050	49369
401	33130	49283
402	33206	49192
403	33290	49112
404	33372	49029
405	33448	48937
406	33531	48855
407	33606	48762
408	33682	48671
409	33756	48577
410	33847	48506
411	33929	48423
412	34003	48329
413	34076	48234
414	34147	48135
415	34220	48039
416	34304	47960
417	34387	47879
418	34458	47781
419	34532	47687
420	34613	47604
421	34693	47518
422	34781	47444
423	34857	47353
424	34941	47273
425	35019	47185
426	35085	47081
427	35159	46988
428	35244	46910
429	35319	46819
430	35397	46731
431	35472	46639
432	35549	46551
433	35630	46467
434	35708	46380
435	35793	46302
436	35859	46198
437	35930	46102
438	36007	46013
439	36079	45919
440	36156	45831
441	36226	45734
442	36308	45651
443	36379	45556
444	36460	45473
445	36541	45390
446	36612	45294
447	36695	45214
448	36770	45124
449	36845	45033
450	36922	44944
451	37009	44870
452	37091	44788
453	37169	44702
454	37235	44601
455	37310	44510
456	37382	44417
457	37457	44326
458	37541	44247
459	37612	44153
460	37694	44072
461	37766	43978
462	37835	43882
463	37912	43795
464	37996	43716
465	38069	43625
466	38149	43541
467	38222	43449
468	38296	43358
469	38368	43267
470	38440	43173
471	38528	43099
472	38609	43017
473	38692	42936
474	38773	42854
475	38842	42759
476	38932	42687
477	39025	42617
478	39101	42529
479	39176	42440
480	39253	42354
481	39321	42258
482	39406	42180
483	39478	42088
484	39545	41991
485	39614	41896
486	39681	41800
487	39757	41712
488	39829	41621
489	39902	41531
490	39982	41448
491	40058	41361
492	40142	41282
493	40227	41204
494	40307	41122
495	40387	41038
496	40470	40959
497	40557	40883
498	40634	40796
499	40714	40714
500	40791	40628
501	40871	40545
502	40962	40474
503	41048	40396
504	41126	40312
505	41199	40221
506	41269	40130
507	41345	40043
508	41422	39957
509	41492	39865
